"No.","Time","Source","Destination","Protocol","Length","Info"
"109","4.131827","fe80::2:ff:fe00:b","ff02::6d","packetbb","282",""
"110","4.164989","fe80::2:ff:fe00:10","ff02::6d","packetbb","347",""
"111","4.182848","fe80::2:ff:fe00:11","ff02::6d","packetbb","232",""
"112","4.190222","fe80::2:ff:fe00:15","ff02::6d","packetbb","1270",""
"113","4.209883","fe80::2:ff:fe00:13","ff02::6d","packetbb","277",""
"114","4.257012","MS-NLB-PhysServer-02_18","Broadcast","ARP","42","Who has 10.0.0.21? Tell 10.0.0.24"
"115","4.257042","MS-NLB-PhysServer-02_15","MS-NLB-PhysServer-02_18","ARP","42","10.0.0.21 is at 02:02:00:00:00:15"
"116","4.293207","fe80::2:ff:fe00:2","ff02::6d","packetbb","1142",""
"117","4.335681","fe80::2:ff:fe00:6","ff02::6d","packetbb","894",""
"118","4.335710","10.0.0.6","224.0.0.109","packetbb","248",""
"119","4.341885","fe80::2:ff:fe00:7","ff02::6d","packetbb","914",""
"120","4.341911","10.0.0.7","224.0.0.109","packetbb","282",""
"121","4.365517","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"122","4.365534","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=11417 Win=64128 Len=0 TSval=997918911 TSecr=3464183176"
"123","4.365545","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"124","4.365547","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=12865 Win=63232 Len=0 TSval=997918911 TSecr=3464183176"
"125","4.365550","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"126","4.365552","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=14313 Win=62080 Len=0 TSval=997918911 TSecr=3464183177"
"127","4.365556","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"128","4.365558","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=15761 Win=60928 Len=0 TSval=997918911 TSecr=3464183177"
"129","4.365561","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"130","4.365562","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=17209 Win=59776 Len=0 TSval=997918911 TSecr=3464183177"
"131","4.365565","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"132","4.365569","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=18657 Win=58624 Len=0 TSval=997918911 TSecr=3464183177"
"133","4.365572","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"134","4.365573","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=20105 Win=57472 Len=0 TSval=997918911 TSecr=3464183177"
"135","4.365576","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"136","4.365581","10.0.0.21","10.0.0.9","TCP","66","5000  >  5000 [ACK] Seq=1 Ack=21553 Win=56320 Len=0 TSval=997918911 TSecr=3464183177"
"137","4.365585","fe80::2:ff:fe00:9","ff02::6d","packetbb","650",""
"138","4.365606","10.0.0.9","224.0.0.109","packetbb","260",""
"139","4.394599","10.0.0.11","224.0.0.109","packetbb","262",""
"140","4.394625","fe80::2:ff:fe00:b","ff02::6d","packetbb","886",""
"141","4.403897","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"142","4.403910","fe80::2:ff:fe00:c","ff02::6d","packetbb","232",""
"143","4.403923","fe80::2:ff:fe00:c","ff02::6d","packetbb","1136",""
"144","4.403926","10.0.0.12","224.0.0.109","packetbb","285",""
"145","4.465697","10.0.0.17","224.0.0.109","packetbb","287",""
"146","4.465726","fe80::2:ff:fe00:11","ff02::6d","packetbb","1002",""
"147","4.476455","fe80::2:ff:fe00:12","ff02::6d","IPv6","1510","IPv6 fragment (off=0 more=y ident=0xf113af35 nxt=17)"
"148","4.476465","fe80::2:ff:fe00:12","ff02::6d","packetbb","92",""
"149","4.476477","10.0.0.18","224.0.0.109","packetbb","279",""
"150","4.499156","fe80::2:ff:fe00:14","ff02::6d","packetbb","459",""
"151","4.499321","fe80::2:ff:fe00:14","ff02::6d","packetbb","892",""
"152","4.499325","10.0.0.20","224.0.0.109","packetbb","301",""
"153","4.547975","fe80::2:ff:fe00:18","ff02::6d","packetbb","379",""
"154","4.570033","fe80::2:ff:fe00:2","ff02::6d","packetbb","342",""
"155","4.589866","fe80::2:ff:fe00:15","ff02::6d","packetbb","1179",""
"156","4.593525","10.0.0.21","224.0.0.109","packetbb","264",""
"157","4.608113","10.0.0.4","224.0.0.109","packetbb","277",""
"158","4.608127","fe80::2:ff:fe00:4","ff02::6d","packetbb","664",""
"159","4.679734","fe80::2:ff:fe00:b","ff02::6d","packetbb","242",""
"160","4.689054","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"161","4.689088","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"162","4.689093","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"163","4.689096","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"164","4.689098","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"165","4.689101","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"166","4.689104","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"167","4.689106","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"168","4.741272","fe80::2:ff:fe00:10","ff02::6d","packetbb","885",""
"169","4.783891","fe80::2:ff:fe00:12","ff02::6d","packetbb","581",""
"170","4.848104","fe80::2:ff:fe00:1","ff02::6d","packetbb","554",""
"171","4.848143","fe80::2:ff:fe00:1","ff02::6d","packetbb","683",""
"172","4.859583","fe80::2:ff:fe00:2","ff02::6d","packetbb","683",""
"173","4.879709","fe80::2:ff:fe00:3","ff02::6d","packetbb","1142",""
"174","4.879726","fe80::2:ff:fe00:3","ff02::6d","packetbb","836",""
"175","4.879729","fe80::2:ff:fe00:3","ff02::6d","packetbb","409",""
"176","4.886046","fe80::2:ff:fe00:15","ff02::6d","packetbb","581",""
"177","4.896709","fe80::2:ff:fe00:5","ff02::6d","packetbb","843",""
"178","4.896733","10.0.0.5","224.0.0.109","packetbb","275",""
"179","4.943563","10.0.0.9","10.0.0.21","RSL","1514","[TCP Previous segment not captured] [Malformed Packet]"
"180","4.943582","10.0.0.21","10.0.0.9","TCP","78","[TCP Window Update] 5000  >  5000 [ACK] Seq=1 Ack=21553 Win=64128 Len=0 TSval=997919489 TSecr=3464183177 SLE=37481 SRE=38929"
"181","4.943590","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"182","4.943593","10.0.0.21","10.0.0.9","TCP","78","[TCP Dup ACK 136#1] 5000  >  5000 [ACK] Seq=1 Ack=21553 Win=64128 Len=0 TSval=997919489 TSecr=3464183177 SLE=37481 SRE=40377"
"183","4.943595","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"184","4.943597","10.0.0.21","10.0.0.9","TCP","78","[TCP Dup ACK 136#2] 5000  >  5000 [ACK] Seq=1 Ack=21553 Win=64128 Len=0 TSval=997919489 TSecr=3464183177 SLE=37481 SRE=41825"
"185","4.943599","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"186","4.943601","10.0.0.21","10.0.0.9","TCP","78","[TCP Dup ACK 136#3] 5000  >  5000 [ACK] Seq=1 Ack=21553 Win=64128 Len=0 TSval=997919489 TSecr=3464183177 SLE=37481 SRE=43273"
"187","4.943603","10.0.0.9","10.0.0.21","RSL","1514","[Malformed Packet]"
"188","4.948205","10.0.0.21","10.0.0.9","TCP","78","[TCP Dup ACK 136#4] 5000  >  5000 [ACK] Seq=1 Ack=21553 Win=64128 Len=0 TSval=997919489 TSecr=3464183177 SLE=37481 SRE=44721"
"189","4.972203","fe80::2:ff:fe00:a","ff02::6d","packetbb","1075",""
"190","4.972223","10.0.0.10","224.0.0.109","packetbb","259",""
"191","4.972231","fe80::2:ff:fe00:a","ff02::6d","packetbb","342",""
"192","4.972234","fe80::2:ff:fe00:a","ff02::6d","packetbb","242",""
"193","4.972237","fe80::2:ff:fe00:a","ff02::6d","packetbb","895",""
"194","4.977674","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"195","4.977699","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"196","4.977703","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"197","4.977706","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"198","4.977710","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"199","4.977712","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"200","4.977716","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"201","4.977720","fe80::2:ff:fe00:c","ff02::6d","packetbb","242",""
"202","4.977739","fe80::2:ff:fe00:c","ff02::6d","packetbb","895",""
"203","5.049814","fe80::2:ff:fe00:12","ff02::6d","packetbb","202",""
"204","5.062361","fe80::2:ff:fe00:13","ff02::6d","packetbb","945",""
"205","5.062381","10.0.0.19","224.0.0.109","packetbb","270",""
"206","5.062390","fe80::2:ff:fe00:13","ff02::6d","packetbb","581",""
"207","5.126718","MS-NLB-PhysServer-02_18","Broadcast","ARP","42","Who has 10.0.0.21? Tell 10.0.0.24"
"208","5.126727","MS-NLB-PhysServer-02_15","MS-NLB-PhysServer-02_18","ARP","42","10.0.0.21 is at 02:02:00:00:00:15"
"209","5.145607","fe80::2:ff:fe00:1","ff02::6d","packetbb","202",""
"210","5.165079","fe80::2:ff:fe00:3","ff02::6d","packetbb","718",""
"211","5.172286","fe80::2:ff:fe00:4","ff02::6d","packetbb","242",""
"212","5.253081","fe80::2:ff:fe00:b","ff02::6d","packetbb","162",""
"213","5.270123","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"214","5.270143","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"215","5.270146","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"216","5.270148","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"217","5.270151","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"218","5.270154","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"219","5.270157","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"220","5.445382","fe80::2:ff:fe00:3","ff02::6d","packetbb","521",""
"221","5.445396","10.0.0.3","224.0.0.109","packetbb","258",""
"222","5.558018","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"223","5.558049","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"224","5.558053","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"225","5.558056","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"226","5.558059","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"227","5.558062","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"228","5.558067","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"229","5.712149","fe80::2:ff:fe00:1","ff02::6d","packetbb","569",""
"230","5.712178","10.0.0.1","224.0.0.109","packetbb","270",""
"231","5.721872","fe80::2:ff:fe00:2","ff02::6d","packetbb","527",""
"232","5.721890","10.0.0.2","224.0.0.109","packetbb","269",""
"233","5.846679","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"234","5.846705","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"235","5.846709","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"236","5.846712","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"237","5.846715","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"238","5.846717","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"239","5.846720","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"240","5.846724","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"241","6.147818","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"242","6.147841","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"243","6.147844","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"244","6.147846","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"245","6.147849","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"246","6.147851","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"247","6.147853","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"248","6.360110","fe80::2:ff:fe00:7","ff02::6d","packetbb","503",""
"249","6.360123","10.0.0.7","224.0.0.109","packetbb","256",""
"250","6.384391","fe80::2:ff:fe00:9","ff02::6d","packetbb","513",""
"251","6.384407","10.0.0.9","224.0.0.109","packetbb","256",""
"252","6.479802","fe80::2:ff:fe00:10","ff02::6d","packetbb","655",""
"253","6.479815","10.0.0.16","224.0.0.109","packetbb","322",""
"254","6.501237","fe80::2:ff:fe00:12","ff02::6d","packetbb","559",""
"255","6.501261","10.0.0.18","224.0.0.109","packetbb","275",""
"256","6.613447","10.0.0.4","224.0.0.109","packetbb","278",""
"257","6.613460","fe80::2:ff:fe00:4","ff02::6d","packetbb","537",""
"258","6.624509","fe80::2:ff:fe00:5","ff02::6d","packetbb","549",""
"259","6.624532","10.0.0.5","224.0.0.109","packetbb","276",""
"260","6.635158","10.0.0.6","224.0.0.109","packetbb","248",""
"261","6.635169","fe80::2:ff:fe00:6","ff02::6d","packetbb","545",""
"262","6.684222","fe80::2:ff:fe00:a","ff02::6d","packetbb","513",""
"263","6.684240","10.0.0.10","224.0.0.109","packetbb","259",""
"264","6.688273","fe80::2:ff:fe00:15","ff02::6d","packetbb","537",""
"265","6.692148","10.0.0.21","224.0.0.109","packetbb","270",""
"266","6.694396","10.0.0.11","224.0.0.109","packetbb","257",""
"267","6.694409","fe80::2:ff:fe00:b","ff02::6d","packetbb","511",""
"268","6.706034","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"269","6.706052","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"270","6.706054","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"271","6.706057","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"272","6.706059","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"273","6.706062","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"274","6.706065","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"275","6.769674","10.0.0.17","224.0.0.109","packetbb","290",""
"276","6.769686","fe80::2:ff:fe00:11","ff02::6d","packetbb","573",""
"277","6.801210","10.0.0.20","224.0.0.109","packetbb","305",""
"278","6.801225","fe80::2:ff:fe00:14","ff02::6d","packetbb","619",""
"279","6.952317","10.0.0.8","224.0.0.109","packetbb","281",""
"280","6.952352","fe80::2:ff:fe00:8","ff02::6d","packetbb","555",""
"281","6.993177","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"282","6.993197","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"283","6.993200","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"284","6.993203","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"285","6.993204","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"286","6.993207","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"287","6.993209","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"288","7.087665","10.0.0.19","224.0.0.109","packetbb","278",""
"289","7.087685","fe80::2:ff:fe00:13","ff02::6d","packetbb","557",""
"290","7.282831","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"291","7.282854","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"292","7.282857","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"293","7.282859","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"294","7.282862","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"295","7.282865","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"296","7.282867","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"297","7.282870","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"298","7.570146","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"299","7.570277","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"300","7.570283","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"301","7.570287","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"302","7.570289","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"303","7.570292","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"304","7.570294","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"305","7.739917","10.0.0.2","224.0.0.109","packetbb","264",""
"306","7.739929","fe80::2:ff:fe00:2","ff02::6d","packetbb","531",""
"307","7.749707","fe80::2:ff:fe00:3","ff02::6d","packetbb","501",""
"308","7.749732","10.0.0.3","224.0.0.109","packetbb","254",""
"309","7.880688","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"310","7.880706","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"311","7.880709","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"312","7.880711","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"313","7.880713","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"314","7.880715","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"315","7.880717","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"316","8.145792","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"317","8.145914","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"318","8.145919","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
"319","8.145921","10.0.0.12","10.0.0.21","TAPA","1322","Discover - NewReply"
